MD5, SHA1, Filename or Org if Cert, Comment,										
b91ce2fa41029f6955bff20079468448, 76640508b1e7759e548771a5359eaed353bf1eec,	SolarWinds.Orion.Core.BusinessLayer.dll,,
d5aad0d248c237360cf39c054b654d69,	b485953ed77caefe81bff0d9b349a33c5cea4cde,	SolarWinds.Orion.Core.BusinessLayer.dll,,
2c4a910a1299cdae2a4e55988a2f102e,	2f1a5a7411d015d01aaee4535835400191645023,	SolarWinds.Orion.Core.BusinessLayer.dll,,
846e27a652a5e1bfbd0ddd38a16dc865,	d130bd75645c2433f88ac03e73395fba172ef676,	SolarWinds.Orion.Core.BusinessLayer.dll,,
e18a6a21eb44e77ca8d739a72209c370,	5e643654179e8b4cfe1d3c1906a90a4c8d611cea,	SolarWinds.Orion.Core.BusinessLayer.dll,,
3e329a4c9030b26ba152fb602a1d5893,	ebe711516d0f5cd8126f4d53e375c90b7b95e8f2,	SolarWinds.Orion.Core.BusinessLayer.dll,,
f6d07f3d81dcea99b27462d100414917,	395da6d4f3c890295f7584132ea73d759bd9d094,	SolarWinds.Orion.Core.BusinessLayer.dll,,
fc8e4ed4d3a90ab61ef6af99443273e3,	8ead132e3a3bc4a09685f807c53317cb1c127cb1,	SolarWinds.Orion.Core.BusinessLayer.dll,,
2579a40f905f5dd73c00ab67ee44dd87,	7aec1250c88de5bacae1ee7276d786dfa77c1e72,	SolarWinds.Orion.Core.BusinessLayer.dll,,
2ac52131ef48a2146dde5d232cf00918,	3c39bb574485dea0af531070ef2fcc9fb62ada1f,	SolarWinds.Orion.Core.BusinessLayer.dll,,
f492697f34c9885035295abdf46acce0,	cba7a712bf00b94f1cea4c476a12ce41e9c40333,	m0AfHtvAfX.dll,,
2c4a910a1299cdae2a4e55988a2f102e,	2f1a5a7411d015d01aaee4535835400191645023,	RgGMhsEYl7.dll,,
b32892d699c39949e9b648d6b72fe5cf,	b67048acde6f73e76a5004331130824fa810670e,	201220-t5x5vqmmds,TEARDROP-sample,
393702fab1c5d09d9f94e8a63114746d,	e1ebab8ed84dc10b95a1f68c812ecbf6d8f350f8,	201217-8hh32lblhj,TEARDROP-sample,
a4f94f3896f4730cc7709e3b14888c5d,	09b74bdbfcafd87e175abba843495b007ed65b3b,	201220-7yzhbhvt7e,TEARDROP-sample,
02af7cec58b9a5da1c542b5a32151ba1,	1b476f58ca366b54f34d714ffce3fd73cc30db1a,	SolarWinds-Core-v2019.4.5220-Hotfix5.msp,Hotfix with malware,							
4f2eb62fa529c0283b28d05ddd311fae,	c2c30b3a287d82f88753c85cfb11ec9eb1466bad,	OrionImprovementBusinessLayer.2.cs,From FireEye,
56ceb6d0011d87b6e4d7023d7ef85676,	75af292f34789a1c782ea36c7127bf6106f595e8,	app_web_logoimagehandler.ashx.b6031896.dll,,							
8f694c36670aa3ef0b55b5c7aa9edccb,	N/A,CoreInstaller.msi, MSI-package including malware,
88c03a1ffc753b4d4f198f9784802b33,	3c967660dedc209798f56c79bd8f09dcc70aa123,	57124-88c03a1ffc753b4d4f198f9784802b33.dll,Supernova,	
094ad2c92d04b574659cc28c7543d8d6,	7d2b6a2cbdbe780911723ed5fd9a3f4464c80b64,	57161-094ad2c92d04b574659cc28c7543d8d6.dll,Supernova,
ff71ce8dc614a2aa353d454f9a3512ca,	25d4568559a86b7796c31f0eb2208947d2b5e2e4,	e9593a8ae506ffce10c15b37a57e2e1f09458a37439b53365991a6f8df646837,,
393702fab1c5d09d9f94e8a63114746d,	e1ebab8ed84dc10b95a1f68c812ecbf6d8f350f8,	6e4050c6a2d2e5e49606d96dd2922da480f2e0c70082cc7e54449a7dc0d20f8d,TEARDROP-sample,
51198e87745e12d2c46e1d1284ff1f48,	27c46b3a02b146bd82276c7e76e889f5076e28a7,	NcmInstaller.msi,(contains SolarWinds.Orion.Core.BusinessLayer.dll),
